item_id,order_id,product_id,quantity,unit_price,freight_value
ITEM-000001,ORD-000383,PROD-0627,5,2534.91,140.05
ITEM-000002,ORD-009682,PROD-0357,3,1227.09,68.87
ITEM-000003,ORD-000169,PROD-0754,2,1000.06,13.42
ITEM-000004,ORD-007619,PROD-0840,1,1282.8,59.83
ITEM-000005,ORD-013868,PROD-0335,2,2773.92,52.15
ITEM-000006,ORD-009322,PROD-0249,3,1552.64,133.59
ITEM-000007,ORD-002329,PROD-0636,4,1294.16,147.05
ITEM-000008,ORD-005079,PROD-0585,2,1122.68,76.93
ITEM-000009,ORD-001380,PROD-0146,5,1663.36,141.81
ITEM-000010,ORD-004876,PROD-0717,2,276.19,143.72
ITEM-000011,ORD-014452,PROD-0184,1,1942.39,97.22
ITEM-000012,ORD-010620,PROD-0249,3,376.95,46.99
ITEM-000013,ORD-004111,PROD-0581,5,2713.74,121.39
ITEM-000014,ORD-001569,PROD-0902,5,1408.11,96.93
ITEM-000015,ORD-000220,PROD-0271,3,2935.25,79.36
ITEM-000016,ORD-002907,PROD-0112,2,1320.44,70.14
ITEM-000017,ORD-013458,PROD-0066,3,2027.09,63.49
ITEM-000018,ORD-000245,PROD-0524,2,297.79,120.3
ITEM-000019,ORD-008734,PROD-0171,4,,56.38
ITEM-000020,ORD-004434,PROD-0113,5,2254.77,5.25
ITEM-000021,ORD-011174,PROD-0031,5,1430.41,105.72
ITEM-000022,ORD-010670,PROD-0738,2,510.03,93.62
ITEM-000023,ORD-002515,PROD-0333,3,1402.77,99.86
ITEM-000024,ORD-002889,PROD-0504,5,2304.31,49.55
ITEM-000025,ORD-014096,PROD-0662,3,1123.18,16.62
ITEM-000026,ORD-006552,PROD-0810,5,1529.2,65.22
ITEM-000027,ORD-007902,PROD-0574,5,34.32,118.71
ITEM-000028,ORD-010823,PROD-0374,4,280.66,6.35
ITEM-000029,ORD-004015,PROD-0392,3,469.59,114.86
ITEM-000030,ORD-006449,PROD-0251,5,1452.98,80.34
ITEM-000031,ORD-002883,PROD-0247,3,2966.11,22.79
ITEM-000032,ORD-001122,PROD-0068,2,2715.53,105.03
ITEM-000033,ORD-008877,PROD-0768,3,377.76,11.6
ITEM-000034,ORD-007134,PROD-0271,1,2950.45,21.95
ITEM-000035,ORD-002590,PROD-0315,5,798.42,105.9
ITEM-000036,ORD-010572,PROD-0690,5,1112.36,104.23
ITEM-000037,ORD-000917,PROD-0148,5,347.58,107.05
ITEM-000038,ORD-002235,PROD-0385,1,986.68,71.56
ITEM-000039,ORD-009300,PROD-0645,4,1305.54,44.01
ITEM-000040,ORD-002316,PROD-0501,2,216.77,84.35
ITEM-000041,ORD-011112,PROD-0685,2,266.51,123.1
ITEM-000042,ORD-012194,PROD-0144,4,2825.78,35.01
ITEM-000043,ORD-007455,PROD-0026,4,2586.97,128.27
ITEM-000044,ORD-008922,PROD-0418,3,2119.74,102.84
ITEM-000045,ORD-012554,PROD-0032,5,2749.05,66.39
ITEM-000046,ORD-005011,PROD-0901,4,154.05,141.02
ITEM-000047,ORD-014453,PROD-0338,1,2606.51,41.28
ITEM-000048,ORD-001668,PROD-0994,4,2856.18,122.25
ITEM-000049,ORD-008654,PROD-0864,2,483.38,40.72
ITEM-000050,ORD-011772,PROD-0142,2,943.32,144.04
ITEM-000051,ORD-000651,PROD-0717,4,33.43,31.79
ITEM-000052,ORD-008536,PROD-0868,2,2643.58,81.78
ITEM-000053,ORD-009039,PROD-0516,2,1221.91,139.24
ITEM-000054,ORD-002418,PROD-0016,1,2713.91,18.85
ITEM-000055,ORD-002405,PROD-0352,5,1496.83,20.17
ITEM-000056,ORD-009502,PROD-0974,1,154.27,6.24
ITEM-000057,ORD-002098,PROD-0378,2,2746.26,144.54
ITEM-000058,ORD-008013,PROD-0451,5,1150.08,69.08
ITEM-000059,ORD-013774,PROD-0927,2,2062.56,49.45
ITEM-000060,ORD-014410,PROD-0204,3,785.65,112.44
ITEM-000061,ORD-007375,PROD-0922,1,1669.47,80.92
ITEM-000062,ORD-011382,PROD-0476,2,1648.11,74.27
ITEM-000063,ORD-002075,PROD-0428,1,1317.98,34.7
ITEM-000064,ORD-001015,PROD-0034,5,2518.22,123.82
ITEM-000065,ORD-006492,PROD-0993,-2,2348.31,100.85
ITEM-000066,ORD-010955,PROD-0467,5,2743.5,41.38
ITEM-000067,ORD-005783,PROD-0728,2,1503.75,145.25
ITEM-000068,ORD-013747,PROD-0420,2,1973.24,143.77
ITEM-000069,ORD-009916,PROD-0697,2,1741.64,23.09
ITEM-000070,ORD-012000,PROD-0722,4,2589.24,40.89
ITEM-000071,ORD-012050,PROD-0033,2,2893.55,69.63
ITEM-000072,ORD-003652,PROD-0544,1,2465.67,123.99
ITEM-000073,ORD-004068,PROD-0874,1,2398.69,30.5
ITEM-000074,ORD-009581,PROD-0932,1,312.12,57.67
ITEM-000075,ORD-003152,PROD-0558,2,,66.68
ITEM-000076,ORD-014988,PROD-0847,4,,93.37
ITEM-000077,ORD-013366,PROD-9325,2,1069.75,113.69
ITEM-000078,ORD-001909,PROD-0845,1,1033.19,60.6
ITEM-000079,ORD-010349,PROD-0849,1,2605.02,127.47
ITEM-000080,ORD-004736,PROD-0066,5,707.47,44.2
ITEM-000081,ORD-005767,PROD-0817,2,2649.91,135.42
ITEM-000082,ORD-003800,PROD-0057,3,714.24,146.98
ITEM-000083,ORD-008000,PROD-0132,2,1111.66,19.65
