order_id,customer_id,status,order_date,approved_at,delivered_at
ORD-000001,CUST-03711,processing,2023-05-03 12:27:00,2023-05-04 21:27:00,
ORD-000002,CUST-00725,delivered,2021-03-08 19:34:00,2021-03-09 09:34:00,2021-03-17 09:34:00
ORD-000003,CUST-02404,shipped,2021-04-02 03:54:00,2021-04-02 21:54:00,
ORD-000004,CUST-03086,returned,2023-11-25 19:33:00,2023-11-26 12:33:00,
ORD-000005,CUST-02594,canceled,2023-09-25 05:23:00,,
ORD-000006,CUST-01902,shipped,2023-01-26 16:18:00,2023-01-28 05:18:00,
ORD-000007,CUST-01841,delivered,2021-01-23 03:58:00,2021-01-25 02:58:00,2021-02-14 02:58:00
ORD-000008,CUST-00496,canceled,2023-10-03 07:32:00,,
ORD-000009,CUST-00780,shipped,2021-07-08 22:59:00,2021-07-10 04:59:00,
ORD-000010,CUST-01305,delivered,2023-05-09 04:18:00,2023-05-10 00:18:00,2023-05-18 00:18:00
ORD-000011,CUST-00736,delivered,2023-10-24 01:03:00,2023-10-25 18:03:00,2023-11-23 18:03:00
ORD-000012,CUST-01663,processing,2024-04-21 15:16:00,2024-04-23 01:16:00,
ORD-000013,CUST-04028,delivered,2022-03-16 02:28:00,2022-03-17 10:28:00,2022-04-11 10:28:00
ORD-000014,CUST-01433,returned,2023-04-20 11:24:00,2023-04-21 02:24:00,
ORD-000015,CUST-02519,delivered,2024-05-29 02:39:00,2024-05-29 06:39:00,2024-05-30 06:39:00
ORD-000016,CUST-02055,delivered,2021-05-28 04:28:00,2021-05-29 10:28:00,2021-06-11 10:28:00
ORD-000017,CUST-03058,shipped,2023-01-29 15:34:00,2023-01-30 22:34:00,
ORD-000018,CUST-04107,delivered,2021-07-11 15:47:00,2021-07-12 03:47:00,2021-08-07 03:47:00
ORD-000019,CUST-02099,delivered,2022-08-12 15:35:00,2022-08-14 14:35:00,2022-09-02 14:35:00
ORD-000020,CUST-03578,delivered,2023-05-06 16:18:00,2023-05-08 06:18:00,2023-05-30 06:18:00
ORD-000021,CUST-00618,shipped,2023-02-26 07:44:00,2023-02-27 17:44:00,
ORD-000022,CUST-02511,delivered,2022-12-06 00:37:00,2022-12-07 06:37:00,2022-12-15 06:37:00
ORD-000023,CUST-04272,delivered,2022-03-31 16:10:00,2022-04-02 14:10:00,2022-04-11 14:10:00
ORD-000024,CUST-04066,delivered,2024-06-13 14:40:00,2024-06-15 09:40:00,2024-06-23 09:40:00
ORD-000025,CUST-01717,canceled,2022-08-27 12:16:00,,
ORD-000026,CUST-02044,delivered,2021-01-30 02:49:00,2021-01-31 02:49:00,2021-02-05 02:49:00
ORD-000027,CUST-00765,delivered,2024-04-12 11:34:00,2024-04-13 22:34:00,2024-04-16 22:34:00
ORD-000028,CUST-03374,delivered,2023-11-07 21:35:00,2023-11-08 09:35:00,2023-11-16 09:35:00
ORD-000029,CUST-04798,delivered,2021-12-05 05:20:00,2021-12-07 04:20:00,2021-12-16 04:20:00
ORD-000030,CUST-00656,delivered,2024-01-23 21:06:00,2024-01-24 01:06:00,2024-02-20 01:06:00
ORD-000031,CUST-01298,delivered,2021-04-21 15:12:00,2021-04-21 19:12:00,2021-05-08 19:12:00
ORD-000032,CUST-02934,delivered,2022-07-19 22:21:00,2022-07-21 18:21:00,2022-07-30 18:21:00
ORD-000033,CUST-96659,canceled,2022-04-20 20:12:00,,
ORD-000034,CUST-03732,delivered,2023-07-08 16:05:00,2023-07-09 16:05:00,2023-08-02 16:05:00
ORD-000035,CUST-02894,delivered,2021-07-10 14:09:00,2021-07-12 02:09:00,2021-07-25 02:09:00
ORD-000036,CUST-00932,delivered,2021-07-10 09:30:00,2021-07-10 20:30:00,2021-08-08 20:30:00
ORD-000037,CUST-02327,delivered,2021-07-22 18:25:00,2021-07-24 16:25:00,2021-08-19 16:25:00
ORD-000038,CUST-00807,delivered,2021-02-01 10:17:00,2021-02-01 11:17:00,2021-02-02 11:17:00
ORD-000039,CUST-97638,shipped,2024-05-24 08:49:00,2024-05-24 19:49:00,
ORD-000040,CUST-04844,delivered,2024-06-14 14:37:00,2024-06-16 01:37:00,2024-07-12 01:37:00
ORD-000041,CUST-00825,delivered,2023-10-21 00:54:00,2023-10-22 19:54:00,2023-11-21 19:54:00
ORD-000042,CUST-00300,shipped,2021-09-04 13:54:00,2021-09-05 21:54:00,
