payment_id,order_id,payment_type,installments,amount
PAY-000001,ORD-001318,credit_card,8,268.57
PAY-000002,ORD-006300,boleto,1,1107.96
PAY-000003,ORD-005054,voucher,1,1997.09
PAY-000004,ORD-009522,credit_card,3,1576.39
PAY-000005,ORD-013999,credit_card,5,3245.74
PAY-000006,ORD-007664,credit_card,3,7307.78
PAY-000007,ORD-000791,voucher,1,6404.07
PAY-000008,ORD-005002,voucher,1,5279.69
PAY-000009,ORD-008164,voucher,1,614.94
PAY-000010,ORD-006787,debit_card,1,5786.81
PAY-000011,ORD-000425,credit_card,2,4257.48
PAY-000012,ORD-000494,voucher,1,6808.59
PAY-000013,ORD-012873,voucher,1,7853.45
PAY-000014,ORD-010547,boleto,1,6843.99
PAY-000015,ORD-011100,boleto,1,4993.84
PAY-000016,ORD-003925,credit_card,7,1829.77
PAY-000017,ORD-004287,credit_card,2,6565.82
PAY-000018,ORD-008988,,9,7315.04
PAY-000019,ORD-014746,boleto,1,4504.55
PAY-000020,ORD-014811,debit_card,1,4796.27
PAY-000021,ORD-014083,voucher,1,7380.66
PAY-000022,ORD-004290,debit_card,1,2783.97
PAY-000023,ORD-000769,voucher,1,296.95
PAY-000024,ORD-000543,boleto,1,7361.58
PAY-000025,ORD-007349,voucher,1,4990.41
PAY-000026,ORD-008052,voucher,1,7437.76
PAY-000027,ORD-014584,credit_card,4,7599.47
PAY-000028,ORD-010621,credit_card,8,6512.62
PAY-000029,ORD-013169,debit_card,1,1049.15
PAY-000030,ORD-006313,debit_card,1,5359.36
PAY-000031,ORD-003534,voucher,1,1730.76
PAY-000032,ORD-007901,debit_card,1,7257.81
PAY-000033,ORD-007981,boleto,1,3399.97
PAY-000034,ORD-002895,voucher,1,6975.83
PAY-000035,ORD-010341,debit_card,1,2530.94
PAY-000036,ORD-009135,boleto,1,6329.46
PAY-000037,ORD-010291,voucher,1,818.99
PAY-000038,ORD-001571,debit_card,1,1022.05
PAY-000039,ORD-014209,voucher,1,3622.7
PAY-000040,ORD-013429,boleto,1,1689.05
PAY-000041,ORD-006479,debit_card,1,6434.14
PAY-000042,ORD-006572,boleto,1,1157.67
PAY-000043,ORD-003644,voucher,1,1478.11
PAY-000044,ORD-011954,boleto,1,1725.16
PAY-000045,ORD-006738,voucher,1,7142.5
PAY-000046,ORD-000224,debit_card,1,1853.6
PAY-000047,ORD-007784,voucher,,1462.43
PAY-000048,ORD-005476,debit_card,1,215.79
PAY-000049,ORD-013009,credit_card,5,934.2
PAY-000050,ORD-003902,voucher,1,3587.98
PAY-000051,ORD-008646,boleto,1,7984.71
PAY-000052,ORD-003025,boleto,1,291.18
PAY-000053,ORD-006189,cash,1,3669.04
PAY-000054,ORD-012294,voucher,1,6681.26
PAY-000055,ORD-002651,voucher,1,1041.63
PAY-000056,ORD-008503,boleto,1,1155.17
PAY-000057,ORD-008521,debit_card,1,4127.81
PAY-000058,ORD-003125,debit_card,1,6993.2
PAY-000059,ORD-002061,debit_card,1,3734.41
PAY-000060,ORD-012022,debit_card,1,7898.52
PAY-000061,ORD-011231,credit_card,12,3794.15
PAY-000062,ORD-003062,credit_card,1,5141.09
PAY-000063,ORD-006655,voucher,1,3709.47
PAY-000064,ORD-008669,debit_card,1,5676.04
PAY-000065,ORD-003427,credit_card,11,7144.92
PAY-000066,ORD-007805,boleto,1,-359.22
PAY-000067,ORD-013241,credit_card,10,6017.99
PAY-000068,ORD-008630,debit_card,1,3677.77
PAY-000069,ORD-004685,debit_card,1,5267.07
PAY-000070,ORD-013251,debit_card,1,1229.4
PAY-000071,ORD-001164,debit_card,1,6743.52
PAY-000072,ORD-001177,debit_card,1,2013.34
PAY-000073,ORD-006106,debit_card,1,1143.5
PAY-000074,ORD-010325,voucher,1,510.11
PAY-000075,ORD-009261,voucher,1,670.3
PAY-000076,ORD-014180,credit_card,8,885.16
PAY-000077,ORD-010956,credit_card,4,6087.05
PAY-000078,ORD-004549,voucher,1,2404.09
PAY-000079,ORD-008226,credit_card,2,1012.62
PAY-000080,ORD-009155,boleto,1,6878.11
PAY-000081,ORD-010247,voucher,1,1426.17
PAY-000082,ORD-010991,boleto,1,2738.48
PAY-000083,ORD-012946,voucher,1,1385.66
PAY-000084,ORD-000198,boleto,1,2840.7
PAY-000085,ORD-014332,debit_card,1,988.78
PAY-000086,ORD-013709,debit_card,1,6055.11
PAY-000087,ORD-003452,boleto,1,1985.17
PAY-000088,ORD-009906,boleto,1,1237.25
PAY-000089,ORD-004924,voucher,1,4182.27
PAY-000090,ORD-007610,debit_card,1,3040.91
PAY-000091,ORD-013936,debit_card,1,6380.79
PAY-000092,ORD-004772,credit_card,2,4424.04
PAY-000093,ORD-000023,boleto,1,3399.51
PAY-000094,ORD-012478,debit_card,1,5875.52
PAY-000095,ORD-010306,credit_card,11,5292.29
PAY-000096,ORD-005212,boleto,1,6729.17
PAY-000097,ORD-013161,credit_card,10,3945.25
PAY-000098,ORD-007108,boleto,1,7258.82
PAY-000099,ORD-006706,credit_card,12,7794.46
PAY-000100,ORD-005637,boleto,1,2526.38
PAY-000101,ORD-010944,credit_card,5,403.9
PAY-000102,ORD-014512,debit_card,1,7988.92
PAY-000103,ORD-006967,voucher,1,4126.31
PAY-000104,ORD-007041,voucher,1,166.33
PAY-000105,ORD-008739,credit_card,5,3239.63
PAY-000106,ORD-014005,debit_card,1,6659.55
PAY-000107,ORD-011960,credit_card,7,4427.29
PAY-000108,ORD-009840,voucher,1,5454.07
PAY-000109,ORD-005168,boleto,1,5846.42
PAY-000110,ORD-005286,voucher,1,3990.76
PAY-000111,ORD-006919,credit_card,7,5548.81
PAY-000112,ORD-003568,boleto,1,3766.91
PAY-000113,ORD-008358,voucher,1,7243.66
PAY-000114,ORD-012747,boleto,1,5725.79
PAY-000115,ORD-000401,credit_card,12,3216.29
PAY-000116,ORD-003110,boleto,1,2329.52
PAY-000117,ORD-010927,voucher,1,1241.85
PAY-000118,ORD-005941,debit_card,1,6394.77
PAY-000119,ORD-014429,boleto,1,4245.21
PAY-000120,ORD-005552,voucher,1,87.77
PAY-000121,ORD-014588,credit_card,8,4513.39
PAY-000122,ORD-003156,cash,1,1556.47
PAY-000123,ORD-000506,voucher,1,3705.32
PAY-000124,ORD-001347,voucher,1,439.44
PAY-000125,ORD-014932,boleto,1,3324.22
PAY-000126,ORD-009570,credit_card,2,528.02
PAY-000127,ORD-008116,boleto,1,6253.02
PAY-000128,ORD-002589,credit_card,2,6761.58
PAY-000129,ORD-002568,voucher,1,3213.42
PAY-000130,ORD-008994,voucher,1,4420.95
PAY-000131,ORD-014607,boleto,1,815.39
PAY-000132,ORD-001556,boleto,1,4743.13
PAY-000133,ORD-013727,debit_card,1,3681.35
PAY-000134,ORD-003719,voucher,1,5764.65
PAY-000135,ORD-005294,debit_card,1,4730.57
PAY-000136,ORD-007204,boleto,1,4004.28
PAY-000137,ORD-010326,boleto,1,1059.29
PAY-000138,ORD-012220,voucher,1,2506.07
PAY-000139,ORD-013998,voucher,1,31.78
PAY-000140,ORD-006445,boleto,1,4530.66
PAY-000141,ORD-006891,boleto,1,5077.76
PAY-000142,ORD-007051,debit_card,1,2866.96
PAY-000143,ORD-003757,credit_card,3,7522.37
PAY-000144,ORD-002785,debit_card,1,7406.4
PAY-000145,ORD-007647,voucher,1,5555.04
PAY-000146,ORD-004527,credit_card,6,7638.2
PAY-000147,ORD-001157,credit_card,9,5236.64
PAY-000148,ORD-001102,voucher,1,4751.67
PAY-000149,ORD-008833,voucher,1,1167.48
PAY-000150,ORD-001763,boleto,1,6087.93
PAY-000151,ORD-003617,credit_card,4,3406.46
PAY-000152,ORD-003620,voucher,1,4026.8
PAY-000153,ORD-001013,credit_card,3,649.54
PAY-000154,ORD-010721,credit_card,2,6872.83
PAY-000155,ORD-011236,credit_card,7,4940.94
PAY-000156,ORD-002051,boleto,1,6738.49
PAY-000157,ORD-011584,boleto,1,7024.27
PAY-000158,ORD-003756,debit_card,1,112.5
PAY-000159,ORD-006394,credit_card,3,5808.31
PAY-000160,ORD-005319,voucher,1,7656.35
PAY-000161,ORD-012381,debit_card,1,3541.69
PAY-000162,ORD-012043,credit_card,12,-180.98
PAY-000163,ORD-002581,credit_card,2,4150.23
PAY-000164,ORD-009603,boleto,1,2012.18
PAY-000165,ORD-012633,debit_card,1,-462.03
PAY-000166,ORD-004187,credit_card,3,3250.42
PAY-000167,ORD-003576,bitcoin,11,3133.44
PAY-000168,ORD-011716,boleto,1,6258.65
PAY-000169,ORD-011048,credit_card,4,943.2
PAY-000170,ORD-011866,credit_card,5,1530.42
PAY-000171,ORD-012454,credit_card,10,6374.49
PAY-000172,ORD-000827,boleto,1,2872.98
PAY-000173,ORD-008334,credit_card,3,2128.11
PAY-000174,ORD-005642,debit_card,1,5073.5
PAY-000175,ORD-012287,debit_card,1,844.34
PAY-000176,ORD-004583,debit_card,1,7723.22
PAY-000177,ORD-014926,credit_card,4,1064.83
PAY-000178,ORD-002864,debit_card,1,6979.09
PAY-000179,ORD-014117,debit_card,1,7240.42
PAY-000180,ORD-006841,boleto,1,919.05
PAY-000181,ORD-006260,credit_card,12,5972.29
PAY-000182,ORD-006010,boleto,1,6957.83
PAY-000183,ORD-007303,voucher,1,4766.96
PAY-000184,ORD-005533,boleto,1,3478.23
PAY-000185,ORD-003014,debit_card,1,2941.55
PAY-000186,ORD-008776,boleto,1,1119.86
PAY-000187,ORD-003363,credit_card,6,3312.65
PAY-000188,ORD-000784,debit_card,1,4880.27
PAY-000189,ORD-009975,voucher,1,663.84
PAY-000190,ORD-005441,boleto,1,3356.81
PAY-000191,ORD-013119,boleto,1,7524.3
PAY-000192,ORD-004590,boleto,1,7898.41
PAY-000193,ORD-002368,debit_card,1,853.72
PAY-000194,ORD-003206,credit_card,1,5545.74
PAY-000195,ORD-000567,voucher,1,4178.74
PAY-000196,ORD-003622,debit_card,1,6982.27
PAY-000197,ORD-012864,debit_card,1,324.66
PAY-000198,ORD-009393,voucher,1,2597.12
PAY-000199,ORD-010757,voucher,1,7354.76
PAY-000200,ORD-004203,boleto,1,1645.66
PAY-000201,ORD-011231,debit_card,1,4668.95
PAY-000202,ORD-014017,credit_card,2,4888.76
PAY-000203,ORD-006972,boleto,1,2049.56
PAY-000204,ORD-013064,credit_card,7,2808.06
PAY-000205,ORD-012331,boleto,1,-497.38
PAY-000206,ORD-002088,debit_card,1,578.79
PAY-000207,ORD-002347,voucher,1,2222.42
PAY-000208,ORD-002366,debit_card,,4655.27
PAY-000209,ORD-005629,boleto,1,2064.17
PAY-000210,ORD-006495,voucher,1,4636.63
PAY-000211,ORD-003401,voucher,1,1745.13
PAY-000212,ORD-009681,debit_card,1,6207.1
PAY-000213,ORD-014235,boleto,1,7706.77
PAY-000214,ORD-005979,debit_card,1,4411.64
PAY-000215,ORD-009361,boleto,1,6892.06
PAY-000216,ORD-002588,credit_card,12,6263.56
PAY-000217,ORD-000001,debit_card,1,3021.26
PAY-000218,ORD-003065,voucher,1,3383.39
PAY-000219,ORD-010106,boleto,1,2219.54
PAY-000220,ORD-003311,boleto,1,6768.76
PAY-000221,ORD-013679,boleto,1,7947.15
PAY-000222,ORD-012520,credit_card,1,4540.44
PAY-000223,ORD-002444,credit_card,10,3250.4
PAY-000224,ORD-008583,boleto,1,5410.71
PAY-000225,ORD-001189,boleto,1,7070.4
PAY-000226,ORD-006151,debit_card,1,3046.61
PAY-000227,ORD-011492,credit_card,7,2911.97
PAY-000228,ORD-001638,boleto,1,1383.4
PAY-000229,ORD-013135,debit_card,1,602.43
PAY-000230,ORD-009198,boleto,1,6905.85
PAY-000231,ORD-002108,boleto,1,7283.97
PAY-000232,ORD-008353,boleto,1,1169.66
PAY-000233,ORD-010147,voucher,1,197.6
PAY-000234,ORD-004755,debit_card,1,4373.13
PAY-000235,ORD-011359,debit_card,1,5366.27
PAY-000236,ORD-013365,debit_card,1,4011.85
PAY-000237,ORD-010210,voucher,1,1292.58
PAY-000238,ORD-008192,voucher,1,1801.13
PAY-000239,ORD-008369,boleto,1,2769.98
PAY-000240,ORD-013207,debit_card,1,3662.65
PAY-000241,ORD-000375,boleto,1,5717.45
PAY-000242,ORD-010925,credit_card,4,4370.19
PAY-000243,ORD-008983,debit_card,1,1200.36
PAY-000244,ORD-012957,credit_card,6,3278.05
PAY-000245,ORD-007009,boleto,1,888.25
PAY-000246,ORD-006644,debit_card,1,759.53
PAY-000247,ORD-006590,voucher,1,6637.9
PAY-000248,ORD-003588,boleto,1,2828.87
PAY-000249,ORD-005561,boleto,1,636.3
PAY-000250,ORD-004782,debit_card,1,4439.31
PAY-000251,ORD-001382,boleto,1,673.2
PAY-000252,ORD-008695,voucher,1,1212.54
PAY-000253,ORD-010553,credit_card,3,4174.0
PAY-000254,ORD-014686,voucher,1,7964.18
PAY-000255,ORD-008580,voucher,1,1727.09
PAY-000256,ORD-010657,credit_card,2,5697.27
PAY-000257,ORD-003561,boleto,1,5231.88
PAY-000258,ORD-014153,debit_card,1,7571.08
PAY-000259,ORD-014159,boleto,1,6578.88
PAY-000260,ORD-011626,boleto,1,4450.95
PAY-000261,ORD-003064,boleto,1,6842.75
PAY-000262,ORD-000516,boleto,1,357.77
PAY-000263,ORD-000586,voucher,1,1549.65
PAY-000264,ORD-005728,debit_card,1,7341.71
PAY-000265,ORD-012173,debit_card,1,5652.19
PAY-000266,ORD-000923,voucher,1,812.22
PAY-000267,ORD-005497,boleto,1,6668.21
PAY-000268,ORD-010402,debit_card,1,4902.77
PAY-000269,ORD-010477,debit_card,1,6169.63
PAY-000270,ORD-007511,credit_card,12,812.58
PAY-000271,ORD-005045,debit_card,1,1577.24
PAY-000272,ORD-000720,debit_card,1,5275.91
PAY-000273,ORD-009419,voucher,1,7318.2
PAY-000274,ORD-014313,credit_card,6,7751.52
PAY-000275,ORD-004350,debit_card,1,3390.98
PAY-000276,ORD-010165,debit_card,1,401.71
PAY-000277,ORD-004174,boleto,1,6501.17
PAY-000278,ORD-011418,credit_card,7,1755.71
PAY-000279,ORD-002943,voucher,1,1165.24
PAY-000280,ORD-011266,credit_card,4,4626.47
PAY-000281,ORD-014051,debit_card,1,4266.84
PAY-000282,ORD-003329,voucher,1,-363.07
PAY-000283,ORD-011100,boleto,1,7049.94
PAY-000284,ORD-007199,boleto,1,5941.06
PAY-000285,ORD-012915,boleto,1,2212.87
PAY-000286,ORD-013995,credit_card,4,5534.37
PAY-000287,ORD-006902,debit_card,1,7407.54
PAY-000288,ORD-001605,voucher,1,5836.51
PAY-000289,ORD-001620,debit_card,1,37.14
PAY-000290,ORD-003531,debit_card,1,5634.35
PAY-000291,ORD-008176,credit_card,3,6854.49
PAY-000292,ORD-003831,debit_card,1,-1.71
PAY-000293,ORD-008523,boleto,1,1711.89
PAY-000294,ORD-011078,voucher,1,5850.72
PAY-000295,ORD-008002,credit_card,1,419.0
PAY-000296,ORD-013352,voucher,1,1688.0
PAY-000297,ORD-010189,voucher,1,1591.74
PAY-000298,ORD-002541,boleto,1,972.05
PAY-000299,ORD-011407,credit_card,11,594.54
PAY-000300,ORD-004420,boleto,1,212.49
PAY-000301,ORD-012359,boleto,1,4485.16
PAY-000302,ORD-013075,voucher,1,148.52
PAY-000303,ORD-013938,credit_card,4,1570.98
PAY-000304,ORD-014270,boleto,1,3092.29
PAY-000305,ORD-009693,debit_card,1,1408.44
PAY-000306,ORD-009770,credit_card,4,2957.72
PAY-000307,ORD-014795,debit_card,1,432.53
PAY-000308,ORD-001642,boleto,1,1021.71
PAY-000309,ORD-007622,boleto,1,5927.07
PAY-000310,ORD-004943,voucher,1,383.24
PAY-000311,ORD-008715,voucher,1,2519.27
PAY-000312,ORD-004176,credit_card,3,7387.01
PAY-000313,ORD-003558,voucher,1,6205.74
PAY-000314,ORD-002800,voucher,1,3919.99
PAY-000315,ORD-006546,credit_card,2,1737.12
PAY-000316,ORD-002124,credit_card,5,1396.52
PAY-000317,ORD-006405,credit_card,1,7154.51
PAY-000318,ORD-003328,boleto,1,3021.96
PAY-000319,ORD-009942,debit_card,1,2742.55
PAY-000320,ORD-001255,debit_card,1,4234.69
PAY-000321,ORD-002519,boleto,1,2831.29
PAY-000322,ORD-008734,voucher,1,7007.45
PAY-000323,ORD-001820,voucher,1,2108.97
PAY-000324,ORD-004746,boleto,1,3077.06
PAY-000325,ORD-006721,debit_card,1,4476.76
PAY-000326,ORD-013095,debit_card,1,4370.31
PAY-000327,ORD-003354,credit_card,1,7610.04
PAY-000328,ORD-012329,credit_card,4,5112.22
PAY-000329,ORD-006191,debit_card,1,304.71
PAY-000330,ORD-006940,credit_card,10,6337.27
PAY-000331,ORD-011877,credit_card,7,6565.66
PAY-000332,ORD-010609,boleto,1,976.86
PAY-000333,ORD-008913,credit_card,1,784.93
PAY-000334,ORD-009584,boleto,1,1308.55
PAY-000335,ORD-009761,boleto,1,2930.16
PAY-000336,ORD-003074,credit_card,8,3291.65
PAY-000337,ORD-010613,boleto,1,6222.14
PAY-000338,ORD-005626,credit_card,10,385.44
PAY-000339,ORD-008997,voucher,1,7351.82
PAY-000340,ORD-006795,debit_card,1,3433.46
PAY-000341,ORD-000520,credit_card,9,1810.92
PAY-000342,ORD-013196,voucher,1,6446.93
PAY-000343,ORD-006550,boleto,1,1867.8
PAY-000344,ORD-011425,debit_card,1,1255.76
PAY-000345,ORD-005074,boleto,1,3869.22
PAY-000346,ORD-004540,boleto,1,4824.05
PAY-000347,ORD-004189,credit_card,7,1863.38
PAY-000348,ORD-013131,voucher,1,-346.54
PAY-000349,ORD-000513,voucher,1,897.74
PAY-000350,ORD-001252,credit_card,2,2492.78
PAY-000351,ORD-010445,credit_card,7,5728.01
PAY-000352,ORD-006927,credit_card,5,2495.31
PAY-000353,ORD-005097,credit_card,3,2963.55
PAY-000354,ORD-002906,credit_card,7,4538.29
PAY-000355,ORD-010935,debit_card,1,5462.31
PAY-000356,ORD-006171,voucher,1,7214.3
PAY-000357,ORD-003801,debit_card,1,6388.49
PAY-000358,ORD-001001,credit_card,10,4113.46
PAY-000359,ORD-007989,credit_card,4,5397.56
PAY-000360,ORD-012320,credit_card,10,7486.88
PAY-000361,ORD-003880,boleto,1,7471.64
PAY-000362,ORD-012553,boleto,1,6368.31
PAY-000363,ORD-000229,boleto,1,7361.88
PAY-000364,ORD-008604,credit_card,11,4535.72
PAY-000365,ORD-004304,debit_card,1,2521.9
PAY-000366,ORD-001529,debit_card,1,7404.53
PAY-000367,ORD-012966,boleto,1,5818.28
PAY-000368,ORD-013064,voucher,1,3286.01
PAY-000369,ORD-013532,credit_card,3,7011.05
PAY-000370,ORD-011745,boleto,1,2925.1
PAY-000371,ORD-008067,voucher,1,3101.97
PAY-000372,ORD-003038,credit_card,3,3153.06
PAY-000373,ORD-013175,voucher,1,5816.72
PAY-000374,ORD-011756,debit_card,1,2262.79
PAY-000375,ORD-004017,debit_card,1,7833.54
PAY-000376,ORD-011308,boleto,1,229.05
PAY-000377,ORD-013543,debit_card,1,7910.92
PAY-000378,ORD-014881,boleto,1,642.4
PAY-000379,ORD-004783,voucher,1,6287.91
PAY-000380,ORD-004461,credit_card,1,2866.53
PAY-000381,ORD-004259,debit_card,1,-378.38
PAY-000382,ORD-012436,voucher,1,3803.35
PAY-000383,ORD-001426,voucher,1,714.79
PAY-000384,ORD-008049,voucher,1,4878.86
PAY-000385,ORD-011755,voucher,1,5130.0
PAY-000386,ORD-004311,voucher,1,3055.43
PAY-000387,ORD-003596,debit_card,1,76.49
PAY-000388,ORD-014480,voucher,1,7599.73
PAY-000389,ORD-009703,voucher,1,6576.23
PAY-000390,ORD-005943,debit_card,1,2530.18
PAY-000391,ORD-010646,credit_card,2,260.24
PAY-000392,ORD-003286,credit_card,1,7656.03
PAY-000393,ORD-012003,voucher,1,6622.34
PAY-000394,ORD-011120,voucher,1,7838.75
PAY-000395,ORD-008130,boleto,1,4288.24
PAY-000396,ORD-012812,debit_card,1,2409.76
PAY-000397,ORD-003760,boleto,1,7488.13
PAY-000398,ORD-013844,voucher,1,2096.84
PAY-000399,ORD-004277,voucher,1,6639.25
PAY-000400,ORD-014336,boleto,1,3864.0
PAY-000401,ORD-005586,,1,2262.73
PAY-000402,ORD-005851,boleto,1,492.07
PAY-000403,ORD-005164,credit_card,12,1523.54
PAY-000404,ORD-001223,credit_card,1,4672.08
PAY-000405,ORD-009719,debit_card,1,6434.33
PAY-000406,ORD-013749,debit_card,1,5687.14
PAY-000407,ORD-010432,credit_card,2,3818.84
PAY-000408,ORD-002715,boleto,1,1672.75
PAY-000409,ORD-004172,credit_card,4,3191.01
PAY-000410,ORD-006931,debit_card,1,1538.46
PAY-000411,ORD-004923,voucher,1,3964.28
PAY-000412,ORD-011846,voucher,1,2975.18
PAY-000413,ORD-002719,credit_card,8,3776.66
PAY-000414,ORD-011796,debit_card,1,7020.53
PAY-000415,ORD-001425,debit_card,1,1817.72
PAY-000416,ORD-012182,voucher,1,658.46
PAY-000417,ORD-002544,voucher,1,5871.05
PAY-000418,ORD-002668,voucher,1,7235.03
PAY-000419,ORD-003228,boleto,1,7189.29
PAY-000420,ORD-001450,voucher,1,1318.84
PAY-000421,ORD-011209,voucher,1,3328.59
PAY-000422,ORD-012003,voucher,1,3109.83
PAY-000423,ORD-008910,voucher,1,2494.63
PAY-000424,ORD-010490,credit_card,7,4466.45
PAY-000425,ORD-003718,boleto,1,6027.9
PAY-000426,ORD-013767,boleto,1,5766.57
PAY-000427,ORD-010167,voucher,1,1223.96
PAY-000428,ORD-014208,debit_card,1,1312.04
PAY-000429,ORD-007237,credit_card,7,3657.6
PAY-000430,ORD-003625,debit_card,1,3484.28
PAY-000431,ORD-013893,credit_card,12,1778.13
PAY-000432,ORD-002748,credit_card,6,-413.16
PAY-000433,ORD-002081,voucher,1,2984.29
PAY-000434,ORD-000916,voucher,1,1280.78
PAY-000435,ORD-010278,credit_card,5,5894.61
PAY-000436,ORD-006368,boleto,1,5462.04
PAY-000437,ORD-003914,credit_card,7,-61.07
PAY-000438,ORD-012112,boleto,1,4867.5
PAY-000439,ORD-006142,debit_card,1,7503.05
PAY-000440,ORD-006257,boleto,1,1656.86
PAY-000441,ORD-002612,boleto,1,2994.29
PAY-000442,ORD-013723,debit_card,1,2314.72
PAY-000443,ORD-011238,credit_card,7,766.65
PAY-000444,ORD-010474,boleto,1,705.31
PAY-000445,ORD-007211,debit_card,1,2675.47
PAY-000446,ORD-004277,voucher,1,3958.34
PAY-000447,ORD-006678,credit_card,10,5556.28
PAY-000448,ORD-012419,boleto,1,5777.98
PAY-000449,ORD-014965,voucher,1,252.76
PAY-000450,ORD-011516,debit_card,1,2670.59
PAY-000451,ORD-001825,voucher,1,1098.16
PAY-000452,ORD-006651,credit_card,8,262.76
PAY-000453,ORD-004545,debit_card,1,2924.18
PAY-000454,ORD-012504,voucher,1,5046.91
PAY-000455,ORD-009946,boleto,1,2937.71
PAY-000456,ORD-000056,credit_card,11,6904.1
PAY-000457,ORD-010280,credit_card,11,7688.86
PAY-000458,ORD-004392,credit_card,5,-407.24
PAY-000459,ORD-013627,credit_card,8,1317.32
PAY-000460,ORD-008194,voucher,1,4028.28
PAY-000461,ORD-000882,boleto,1,6086.36
PAY-000462,ORD-012843,boleto,1,2925.52
PAY-000463,ORD-010938,boleto,1,1361.37
PAY-000464,ORD-013767,credit_card,9,2462.38
PAY-000465,ORD-002587,debit_card,1,1244.63
PAY-000466,ORD-004828,voucher,1,4442.59
PAY-000467,ORD-009376,boleto,1,4577.5
PAY-000468,ORD-002350,credit_card,6,6237.12
PAY-000469,ORD-005096,credit_card,1,1450.87
PAY-000470,ORD-007643,boleto,1,3024.44
PAY-000471,ORD-002001,voucher,1,3663.43
PAY-000472,ORD-012207,boleto,1,3995.2
PAY-000473,ORD-010323,boleto,1,6793.38
PAY-000474,ORD-007961,boleto,1,3092.24
PAY-000475,ORD-010240,voucher,1,1726.05
PAY-000476,ORD-001930,debit_card,1,5645.0
PAY-000477,ORD-001059,voucher,1,3346.76
PAY-000478,ORD-004430,debit_card,1,1916.72
