product_id,product_name,category,price,weight_kg
PROD-0001,Sports Item 1,sports,4205.64,24.41
PROD-0002,Beauty Item 2,beauty,1476.12,36.24
PROD-0003,Food Item 3,food,195.14,7.87
PROD-0004,Pet Shop Item 4,,3874.07,36.39
PROD-0005,Books Item 5,books,583.56,
PROD-0006,Pet Shop Item 6,pet_shop,4204.73,4.34
PROD-0007,Furniture Item 7,furniture,3532.19,49.35
PROD-0008,Sports Item 8,sports,116.69,24.7
PROD-0009,Books Item 9,books,2893.38,49.1
PROD-0010,Garden Item 10,garden,3431.79,6.09
PROD-0011,Office Supplies Item 11,office_supplies,1589.21,13.82
PROD-0012,Clothing Item 12,clothing,148.11,40.48
PROD-0013,Music Item 13,music,1718.92,38.71
PROD-0014,Food Item 14,food,3515.69,27.63
PROD-0015,Health Item 15,health,1452.78,4.93
PROD-0016,Books Item 16,books,4905.16,45.75
PROD-0017,Clothing Item 17,clothing,2206.06,49.43
PROD-0018,Music Item 18,music,1052.49,2.45
PROD-0019,Garden Item 19,garden,399.59,27.89
PROD-0020,Food Item 20,food,473.51,0.44
PROD-0021,Sports Item 21,sports,2186.59,24.96
PROD-0022,Automotive Item 22,automotive,336.43,
PROD-0023,Office Supplies Item 23,office_supplies,4131.69,11.46
PROD-0024,Books Item 24,books,4123.64,
PROD-0025,Sports Item 25,sports,4174.13,38.56
PROD-0026,Health Item 26,health,4399.82,29.05
PROD-0027,Food Item 27,food,2244.2,21.08
PROD-0028,Office Supplies Item 28,office_supplies,4599.98,21.37
PROD-0029,Health Item 29,health,4143.66,10.4
PROD-0030,Office Supplies Item 30,office_supplies,227.26,49.89
PROD-0031,Health Item 31,health,597.91,9.34
PROD-0032,Sports Item 32,sports,4715.85,44.41
PROD-0033,Garden Item 33,garden,3177.11,38.96
PROD-0034,Food Item 34,food,3086.77,6.0
PROD-0035,Health Item 35,health,4890.53,43.48
PROD-0036,Health Item 36,health,3924.81,17.82
PROD-0037,Beauty Item 37,beauty,4200.17,22.55
PROD-0038,Toys Item 38,,2414.58,34.62
PROD-0039,Beauty Item 39,beauty,174.8,40.77
PROD-0040,Sports Item 40,sports,4190.12,11.28
PROD-0041,Food Item 41,food,3595.89,21.76
PROD-0042,Sports Item 42,sports,3225.65,27.28
PROD-0043,Music Item 43,music,1800.21,4.16
PROD-0044,Sports Item 44,sports,20.14,16.68
PROD-0045,Garden Item 45,garden,2628.81,0.85
PROD-0046,Food Item 46,food,4085.03,16.75
PROD-0047,Electronics Item 47,electronics,2562.78,26.92
PROD-0048,Health Item 48,health,346.83,34.78
PROD-0049,Food Item 49,food,3247.9,17.36
PROD-0050,Pet Shop Item 50,pet_shop,2462.86,44.66
