review_id,order_id,score,title,comment,created_at
REV-000001,ORD-006249,3,Pesimo,Pesimo,2021-11-11 14:28:00
REV-000001,ORD-006249,3,Pesimo,Pesimo,2021-11-11 14:28:00
REV-000003,ORD-012469,4,Llego roto,Llego roto,2021-03-17 01:24:00
REV-000004,ORD-005372,,Mejor de lo esperado,,2021-06-13 12:04:00
REV-000005,ORD-008952,5,OK,OK,2023-01-01 12:56:00
REV-000006,ORD-000755,1,,,2021-04-07 07:28:00
REV-000007,ORD-008580,3,Llego roto,,2023-11-24 14:29:00
REV-000008,ORD-008374,4,Excelente producto,Excelente producto,2021-07-25 02:42:00
REV-000009,ORD-012691,2,Pesimo,Pesimo,2021-02-24 20:10:00
REV-000010,ORD-004121,2,Cumple expectativas,,2022-04-22 00:27:00
REV-000011,ORD-014715,4,OK,,2024-02-05 16:58:00
REV-000012,ORD-004341,1,Muy bueno,Muy bueno,2022-02-13 01:20:00
REV-000013,ORD-004424,1,Muy bueno,Muy bueno,2021-11-30 12:37:00
REV-000014,ORD-000204,5,Muy bueno,Muy bueno,2022-11-09 09:01:00
REV-000015,ORD-001060,5,OK,,2021-06-06 01:01:00
REV-000016,ORD-010742,3,Pesimo,Pesimo,2021-08-22 06:25:00
REV-000017,ORD-005388,2,Malo,,2023-02-27 21:50:00
REV-000018,ORD-012046,1,No lo recomiendo,No lo recomiendo,2021-02-04 04:08:00
REV-000019,ORD-012178,5,Llego roto,,2022-12-06 01:30:00
REV-000020,ORD-000744,4,Llego roto,Llego roto,2024-05-08 02:20:00
REV-000021,ORD-006472,3,Cumple expectativas,,2024-01-27 12:17:00
REV-000022,ORD-012178,2,Excelente producto,Excelente producto,2022-07-11 03:24:00
REV-000023,ORD-007757,3,No lo recomiendo,,2022-12-20 05:12:00
REV-000024,ORD-008588,1,,,2024-06-06 13:12:00
REV-000025,ORD-005752,1,Buena calidad,Buena calidad,2021-07-03 15:41:00
REV-000026,ORD-001803,4,Mejor de lo esperado,Mejor de lo esperado,2021-07-10 15:29:00
REV-000027,ORD-010920,3,,,2022-08-28 05:55:00
REV-000028,ORD-011606,3,Malo,,2022-07-18 19:36:00
REV-000029,ORD-005495,2,Llego roto,Llego roto,2022-10-12 15:46:00
REV-000030,ORD-010141,5,Mejor de lo esperado,Mejor de lo esperado,2023-11-09 11:33:00
REV-000031,ORD-014933,2,Recomendado,,2022-03-16 02:43:00
REV-000032,ORD-006161,1,Llego roto,,2023-04-04 14:24:00
REV-000033,ORD-008921,2,Llego roto,,2024-03-16 12:37:00
REV-000034,ORD-001603,1,Llego roto,Llego roto,2021-12-19 11:33:00
REV-000035,ORD-000016,2,Mejor de lo esperado,Mejor de lo esperado,2022-11-09 13:14:00
REV-000036,ORD-003358,5,Pesimo,Pesimo,2022-02-05 04:48:00
REV-000037,ORD-009774,3,Regular,Regular,2023-09-10 11:46:00
REV-000038,ORD-006448,4,Pesimo,Pesimo,2024-05-10 13:22:00
REV-000039,ORD-975015,2,Malo,,2023-09-17 14:17:00
REV-000040,ORD-007948,1,Pesimo,,2021-04-24 16:21:00
REV-000041,ORD-007112,3,,,2022-01-06 17:05:00
REV-000042,ORD-012636,4,Excelente producto,,2023-02-06 11:41:00
REV-000043,ORD-004949,1,Pesimo,Pesimo,2022-11-06 01:34:00
REV-000044,ORD-010466,5,Llego roto,Llego roto,2024-04-04 17:14:00
REV-000045,ORD-010625,4,Buena calidad,,2023-09-11 12:17:00
REV-000046,ORD-010657,5,Buena calidad,,2022-07-19 01:56:00
REV-000047,ORD-008510,5,Mejor de lo esperado,Mejor de lo esperado,2021-04-06 21:06:00
REV-000048,ORD-007159,4,No lo recomiendo,No lo recomiendo,2023-10-23 06:30:00
REV-000049,ORD-007906,3,Pesimo,Pesimo,2024-02-17 08:10:00
REV-000050,ORD-006379,4,Mejor de lo esperado,Mejor de lo esperado,2024-05-23 21:39:00
REV-000051,ORD-001125,2,Muy bueno,,2022-05-04 09:58:00
REV-000052,ORD-011606,3,Mejor de lo esperado,Mejor de lo esperado,2022-02-20 16:15:00
REV-000053,ORD-001609,3,Malo,Malo,2023-03-17 18:05:00
REV-000054,ORD-003199,3,Muy bueno,,2022-06-29 21:12:00
REV-000055,ORD-001458,4,Recomendado,Recomendado,2021-10-25 00:38:00
REV-000056,ORD-002963,4,Recomendado,,2023-06-14 04:59:00
REV-000057,ORD-012211,4,Excelente producto,Excelente producto,2023-12-07 17:00:00
REV-000058,ORD-005724,3,Mejor de lo esperado,Mejor de lo esperado,2022-10-06 12:21:00
REV-000059,ORD-004507,1,Malo,Malo,2023-08-22 20:40:00
REV-000060,ORD-005324,5,Excelente producto,Excelente producto,2022-01-13 20:02:00
REV-000061,ORD-009213,4,Regular,,2022-10-31 21:30:00
REV-000062,ORD-009558,4,Buena calidad,,2022-05-09 20:56:00
REV-000063,ORD-005449,2,Cumple expectativas,,2024-02-07 21:50:00
REV-000064,ORD-971888,5,OK,,2021-10-11 09:55:00
REV-000065,ORD-010711,3,Recomendado,Recomendado,2021-10-01 07:36:00
REV-000066,ORD-008646,5,Pesimo,,2022-07-22 23:17:00
REV-000067,ORD-010742,3,Malo,Malo,2023-10-30 06:11:00
REV-000068,ORD-013444,1,Recomendado,,2023-09-12 09:20:00
REV-000069,ORD-008748,5,Buena calidad,Buena calidad,2023-04-07 18:03:00
REV-000070,ORD-011844,3,Recomendado,,2023-03-04 23:50:00
REV-000071,ORD-000791,2,Malo,Malo,2022-12-15 04:15:00
REV-000072,ORD-002946,4,Cumple expectativas,Cumple expectativas,2023-03-26 18:09:00
REV-000073,ORD-013076,3,Cumple expectativas,Cumple expectativas,2021-11-18 13:18:00
REV-000074,ORD-009232,4,Mejor de lo esperado,,2022-10-16 21:00:00
REV-000075,ORD-000404,5,Recomendado,,2023-01-06 14:35:00
REV-000076,ORD-006503,5,Pesimo,Pesimo,2023-04-22 06:37:00
REV-000077,ORD-003481,5,Llego roto,Llego roto,2022-05-26 14:42:00
REV-000078,ORD-006875,1,Cumple expectativas,Cumple expectativas,2022-04-23 09:50:00
REV-000079,ORD-013118,2,Llego roto,,2024-05-28 07:40:00
REV-000080,ORD-009051,4,Pesimo,Pesimo,2024-05-02 21:46:00
REV-000081,ORD-003859,3,Buena calidad,,2022-06-11 06:04:00
REV-000082,ORD-014886,2,Mejor de lo esperado,Mejor de lo esperado,2022-06-12 09:35:00
REV-000083,ORD-002926,3,Mejor de lo esperado,Mejor de lo esperado,2023-09-03 17:43:00
REV-000084,ORD-013013,2,Recomendado,Recomendado,2024-05-09 03:55:00
REV-000085,ORD-906343,5,Regular,,2023-08-29 08:26:00
REV-000086,ORD-010946,4,Muy bueno,Muy bueno,2021-07-22 04:46:00
REV-000087,ORD-009770,2,OK,OK,2023-07-21 06:24:00
REV-000088,ORD-010747,-1,Regular,Regular,2023-06-19 02:45:00
REV-000089,ORD-006632,5,Pesimo,Pesimo,2024-02-22 01:48:00
REV-000090,ORD-004332,3,Mejor de lo esperado,Mejor de lo esperado,2023-03-15 15:13:00
REV-000091,ORD-002606,1,Muy bueno,,2023-08-23 20:18:00
REV-000092,ORD-004642,0,Buena calidad,Buena calidad,2022-03-17 14:34:00
REV-000093,ORD-000587,3,Mejor de lo esperado,,2023-10-26 02:58:00
REV-000094,ORD-009778,2,Llego roto,,2022-05-07 07:16:00
REV-000095,ORD-008193,3,Llego roto,Llego roto,2022-12-05 10:55:00
REV-000096,ORD-014149,5,Regular,Regular,2021-08-23 03:40:00
REV-000097,ORD-010848,1,Excelente producto,,2022-04-05 13:03:00
REV-000098,ORD-001534,2,Regular,,2022-02-07 08:02:00
REV-000099,ORD-000286,1,Pesimo,Pesimo,2024-01-11 23:14:00
REV-000100,ORD-007331,1,Excelente producto,,2021-10-24 15:01:00
REV-000101,ORD-009909,5,Cumple expectativas,,2021-05-18 19:15:00
REV-000102,ORD-010056,1,OK,,2022-02-23 19:05:00
REV-000103,ORD-011404,2,Mejor de lo esperado,Mejor de lo esperado,2023-02-20 21:18:00
REV-000104,ORD-011288,4,,,2024-04-25 04:38:00
REV-000105,ORD-001872,4,Mejor de lo esperado,,2021-02-13 17:04:00
REV-000106,ORD-014992,5,Llego roto,Llego roto,2021-09-30 05:12:00
REV-000107,ORD-013872,3,Excelente producto,,2021-11-19 10:20:00
REV-000108,ORD-014311,5,Llego roto,,2022-04-08 16:26:00
REV-000109,ORD-003950,4,Buena calidad,,2022-06-02 08:50:00
REV-000110,ORD-004218,5,No lo recomiendo,,2023-03-12 06:56:00
REV-000111,ORD-011984,1,Mejor de lo esperado,Mejor de lo esperado,2022-07-01 16:47:00
REV-000112,ORD-004840,3,Buena calidad,Buena calidad,2023-02-14 18:16:00
REV-000113,ORD-000286,10,,,2023-09-18 15:34:00
REV-000114,ORD-012308,1,Malo,Malo,2023-12-25 13:06:00
REV-000115,ORD-011263,4,Mejor de lo esperado,,2023-02-02 00:13:00
REV-000116,ORD-008564,5,Cumple expectativas,Cumple expectativas,2021-06-05 20:02:00
REV-000117,ORD-013829,3,Muy bueno,Muy bueno,2022-12-21 10:55:00
REV-000118,ORD-010800,2,Regular,Regular,2023-01-09 04:34:00
REV-000119,ORD-006886,5,Pesimo,Pesimo,2024-03-10 14:10:00
REV-000120,ORD-010222,4,Malo,Malo,2021-02-07 13:46:00
REV-000121,ORD-003721,3,Excelente producto,Excelente producto,2023-05-14 20:28:00
REV-000122,ORD-010867,2,Buena calidad,Buena calidad,2023-10-17 13:45:00
REV-000123,ORD-014686,4,Muy bueno,,2021-12-08 05:21:00
REV-000124,ORD-006908,2,,,2022-10-17 09:59:00
REV-000125,ORD-012914,5,Mejor de lo esperado,Mejor de lo esperado,2022-02-18 12:07:00
REV-000126,ORD-013520,5,Cumple expectativas,Cumple expectativas,2023-02-07 23:09:00
REV-000127,ORD-009183,2,Excelente producto,Excelente producto,2022-10-12 11:02:00
REV-000128,ORD-013742,1,Pesimo,,2022-03-15 09:00:00
REV-000129,ORD-010197,2,Mejor de lo esperado,Mejor de lo esperado,2023-01-17 09:11:00
REV-000130,ORD-003788,2,Mejor de lo esperado,Mejor de lo esperado,2022-08-19 11:43:00
REV-000131,ORD-006386,4,Buena calidad,,2023-05-10 01:26:00
REV-000132,ORD-006167,1,No lo recomiendo,No lo recomiendo,2024-03-07 02:49:00
REV-000133,ORD-008645,1,Excelente producto,Excelente producto,2021-07-11 10:56:00
REV-000134,ORD-009285,3,Malo,Malo,2022-03-12 08:02:00
REV-000135,ORD-000190,4,Excelente producto,Excelente producto,2021-10-13 07:31:00
REV-000136,ORD-003733,1,Excelente producto,,2023-07-13 04:56:00
REV-000137,ORD-000464,4,Excelente producto,Excelente producto,2021-10-05 22:21:00
REV-000138,ORD-012680,3,Cumple expectativas,,2024-05-09 02:19:00
REV-000139,ORD-011041,3,Pesimo,,2021-03-24 12:46:00
REV-000140,ORD-007250,1,Recomendado,,2022-03-30 12:28:00
REV-000141,ORD-013397,3,Muy bueno,Muy bueno,2022-03-16 20:23:00
REV-000142,ORD-002658,5,OK,OK,2021-10-23 15:13:00
REV-000143,ORD-000761,1,Excelente producto,,2023-12-07 00:18:00
REV-000144,ORD-009242,5,Pesimo,Pesimo,2023-12-10 13:53:00
REV-000145,ORD-010188,1,Recomendado,Recomendado,2021-07-16 08:01:00
REV-000146,ORD-010267,5,Llego roto,,2021-07-28 06:13:00
REV-000147,ORD-008630,2,No lo recomiendo,,2022-01-05 03:20:00
REV-000148,ORD-009147,2,OK,OK,2023-03-15 00:37:00
REV-000149,ORD-007456,1,Mejor de lo esperado,Mejor de lo esperado,2022-06-28 00:55:00
REV-000150,ORD-014586,1,Malo,Malo,2023-05-15 22:35:00
REV-000151,ORD-007102,1,Malo,Malo,2022-04-01 23:22:00
REV-000152,ORD-011858,5,Regular,Regular,2021-10-21 19:47:00
REV-000153,ORD-004324,4,Mejor de lo esperado,Mejor de lo esperado,2022-02-23 07:38:00
REV-000154,ORD-005771,3,Regular,,2021-08-08 04:59:00
REV-000155,ORD-005803,2,Cumple expectativas,Cumple expectativas,2023-10-08 17:16:00
REV-000156,ORD-011846,4,Excelente producto,Excelente producto,2024-03-06 06:42:00
REV-000157,ORD-009049,2,OK,OK,2021-02-24 03:58:00
REV-000158,ORD-007779,2,Muy bueno,Muy bueno,2021-11-29 08:16:00
REV-000159,ORD-011519,2,Llego roto,,2022-12-21 10:31:00
REV-000160,ORD-994160,4,Pesimo,Pesimo,2021-05-28 07:36:00
REV-000161,ORD-004074,3,Cumple expectativas,,2021-07-07 20:20:00
REV-000162,ORD-008945,4,Regular,,2022-01-24 05:53:00
REV-000163,ORD-005734,1,Cumple expectativas,Cumple expectativas,2024-01-01 09:54:00
REV-000164,ORD-005175,2,Malo,,2021-07-10 20:23:00
REV-000165,ORD-013580,2,Pesimo,,2021-08-26 15:13:00
REV-000166,ORD-007154,4,Regular,Regular,2023-03-14 09:26:00
REV-000167,ORD-003453,5,Mejor de lo esperado,,2021-07-18 13:27:00
REV-000168,ORD-008231,2,Regular,Regular,2022-01-10 03:14:00
REV-000169,ORD-005287,1,OK,,2022-11-30 06:36:00
REV-000170,ORD-011883,4,,,2022-08-11 16:49:00
REV-000171,ORD-002209,1,Excelente producto,Excelente producto,2022-01-09 03:06:00
REV-000172,ORD-011856,2,Regular,,2023-07-01 18:44:00
REV-000173,ORD-014300,0,Buena calidad,,2021-12-10 04:24:00
REV-000174,ORD-001974,4,,,2024-03-06 12:31:00
REV-000175,ORD-002380,5,,,2023-09-11 17:05:00
REV-000176,ORD-002467,2,Buena calidad,Buena calidad,2024-02-12 09:30:00
REV-000177,ORD-005290,5,OK,OK,2024-03-25 21:11:00
REV-000178,ORD-001599,5,Llego roto,Llego roto,2021-04-08 02:52:00
REV-000179,ORD-006291,1,Pesimo,Pesimo,2024-01-04 15:50:00
REV-000180,ORD-010566,1,OK,OK,2021-06-30 01:26:00
REV-000181,ORD-014869,1,Cumple expectativas,Cumple expectativas,2023-09-01 12:39:00
REV-000182,ORD-009008,2,Excelente producto,Excelente producto,2021-05-28 07:11:00
REV-000183,ORD-003745,3,Recomendado,Recomendado,2023-02-09 02:05:00
REV-000184,ORD-009478,5,Excelente producto,,2022-10-10 03:43:00
REV-000040,ORD-007948,1,Pesimo,,2021-04-24 16:21:00
REV-000186,ORD-006049,5,Pesimo,Pesimo,2023-06-21 09:58:00
REV-000187,ORD-003880,5,Pesimo,,2021-07-24 09:04:00
REV-000188,ORD-002692,3,No lo recomiendo,No lo recomiendo,2022-05-17 06:57:00
REV-000189,ORD-007056,4,Mejor de lo esperado,,2024-01-10 12:55:00
REV-000190,ORD-014838,2,Pesimo,,2023-09-15 12:19:00
REV-000191,ORD-008718,2,Excelente producto,Excelente producto,2021-04-18 04:20:00
REV-000192,ORD-007045,2,Llego roto,Llego roto,2023-10-26 15:31:00
REV-000193,ORD-013397,1,Recomendado,Recomendado,2022-09-24 00:53:00
REV-000194,ORD-006340,4,No lo recomiendo,,2022-05-03 22:37:00
REV-000195,ORD-014538,1,No lo recomiendo,No lo recomiendo,2021-05-09 22:34:00
REV-000196,ORD-007766,3,Recomendado,Recomendado,2021-08-18 18:41:00
REV-000197,ORD-004099,3,No lo recomiendo,No lo recomiendo,2023-06-07 16:03:00
REV-000198,ORD-014415,4,Regular,,2021-08-07 02:58:00
REV-000199,ORD-014455,2,Muy bueno,,2022-11-13 13:14:00
REV-000200,ORD-005479,3,Buena calidad,Buena calidad,2023-09-16 13:36:00
REV-000201,ORD-006753,2,OK,OK,2021-06-25 13:15:00
REV-000202,ORD-004504,4,Regular,,2022-07-14 09:53:00
REV-000203,ORD-006803,2,No lo recomiendo,No lo recomiendo,2024-03-31 23:34:00
REV-000204,ORD-013203,2,OK,,2022-08-10 10:29:00
REV-000205,ORD-011282,1,,,2021-09-25 02:39:00
REV-000206,ORD-011122,1,Pesimo,,2021-02-12 18:36:00
REV-000207,ORD-002817,2,Mejor de lo esperado,,2024-02-01 02:00:00
REV-000208,ORD-001046,3,Pesimo,,2021-08-21 00:52:00
REV-000209,ORD-010453,5,Mejor de lo esperado,Mejor de lo esperado,2022-04-07 08:10:00
REV-000210,ORD-004762,4,,,2022-05-03 09:40:00
REV-000211,ORD-013267,5,Mejor de lo esperado,,2021-06-08 15:51:00
REV-000212,ORD-001460,3,Regular,Regular,2022-12-25 19:14:00
REV-000213,ORD-005540,3,Buena calidad,Buena calidad,2021-02-17 08:11:00
REV-000214,ORD-014463,4,Excelente producto,Excelente producto,2021-02-14 17:15:00
REV-000215,ORD-013216,3,Mejor de lo esperado,Mejor de lo esperado,2023-04-20 01:53:00
REV-000216,ORD-000291,1,Buena calidad,,2024-02-29 13:42:00
REV-000217,ORD-014734,2,Muy bueno,,2022-11-09 15:36:00
REV-000218,ORD-001547,1,Muy bueno,,2022-10-12 09:24:00
REV-000219,ORD-012608,5,No lo recomiendo,,2023-12-24 10:13:00
REV-000220,ORD-013620,1,Recomendado,,2024-01-29 06:31:00
REV-000221,ORD-009917,1,Regular,,2022-07-01 11:45:00
REV-000222,ORD-010879,4,,,2023-03-03 04:13:00
REV-000223,ORD-003412,1,Cumple expectativas,,2024-04-25 07:56:00
REV-000224,ORD-005750,1,Mejor de lo esperado,,2022-08-26 14:31:00
REV-000225,ORD-006355,3,Cumple expectativas,,2023-12-23 01:30:00
REV-000226,ORD-013881,3,Llego roto,Llego roto,2023-04-27 05:52:00
REV-000227,ORD-009929,4,Cumple expectativas,,2024-04-04 06:16:00
REV-000228,ORD-003297,2,No lo recomiendo,No lo recomiendo,2022-05-30 00:19:00
REV-000229,ORD-003841,4,Muy bueno,Muy bueno,2021-04-27 04:13:00
REV-000230,ORD-007543,1,OK,OK,2023-12-17 00:33:00
REV-000231,ORD-003862,1,Muy bueno,,2022-04-17 19:18:00
REV-000232,ORD-003836,6,OK,OK,2023-11-09 01:01:00
REV-000233,ORD-007051,2,Excelente producto,Excelente producto,2023-12-21 03:09:00
REV-000234,ORD-008076,2,Cumple expectativas,Cumple expectativas,2022-10-29 19:50:00
REV-000235,ORD-013488,5,OK,OK,2021-02-10 03:32:00
REV-000236,ORD-008334,5,Llego roto,Llego roto,2021-03-19 16:31:00
REV-000237,ORD-007675,2,Cumple expectativas,Cumple expectativas,2021-08-04 14:26:00
REV-000238,ORD-012708,2,Buena calidad,Buena calidad,2021-09-16 14:43:00
REV-000239,ORD-001399,1,Buena calidad,,2024-03-21 00:49:00
REV-000240,ORD-002646,2,No lo recomiendo,No lo recomiendo,2022-12-09 16:05:00
REV-000241,ORD-010941,2,Pesimo,,2024-04-19 03:26:00
REV-000242,ORD-007910,5,Regular,Regular,2023-10-15 11:21:00
REV-000243,ORD-001337,4,No lo recomiendo,,2021-09-21 16:59:00
REV-000244,ORD-011841,1,,,2024-03-25 08:22:00
REV-000245,ORD-010517,1,Excelente producto,Excelente producto,2021-09-23 19:34:00
REV-000246,ORD-002436,4,Malo,,2023-09-17 02:59:00
REV-000247,ORD-009867,2,Muy bueno,,2021-11-23 19:52:00
REV-000248,ORD-009027,1,Muy bueno,Muy bueno,2023-06-04 13:32:00
REV-000249,ORD-008688,4,Llego roto,,2023-03-14 03:01:00
REV-000250,ORD-000543,2,Llego roto,,2023-03-13 18:50:00
REV-000251,ORD-004186,5,Muy bueno,,2022-07-25 18:55:00
REV-000252,ORD-008504,1,Cumple expectativas,Cumple expectativas,2023-12-06 16:04:00
REV-000253,ORD-006864,3,Recomendado,,2022-02-05 05:10:00
REV-000254,ORD-003792,1,Buena calidad,,2022-04-19 05:38:00
